"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016339","calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules","9/309","48/18805",0.1875,11.4108009708738,9.33444553454033,7.42862088348064e-08,0.000228801523211204,0.000208079580746758,"PCDHB10/PCDHB5/PCDHB4/PCDHB3/PCDHB9/PCDHB6/PCDHB11/PCDHB2/PCDHB16",9
"GO:0006418","tRNA aminoacylation for protein translation","7/309","41/18805",0.170731707317073,10.3903228352672,7.77992109256166,4.2071880501402e-06,0.00264684879111197,0.00240713077004407,"AARS1/LARS2/LRRC47/EPRS1/LARS1/YARS1/MARS1",7
"GO:0002181","cytoplasmic translation","13/309","169/18805",0.0769230769230769,4.68135424446104,6.2135538166698,4.58887666267147e-06,0.00264684879111197,0.00240713077004407,"AARS1/MTOR/EIF2S3/EIF3D/EIF3I/RPL28/RPS5/HNRNPD/EIF3CL/RPLP1/RPS18/RPS10/RPL14",13
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","13/309","169/18805",0.0769230769230769,4.68135424446104,6.2135538166698,4.58887666267147e-06,0.00264684879111197,0.00240713077004407,"PCDHB12/PCDHB10/PCDHB5/PCDHB8/PCDHB4/PCDHB7/PCDHB3/PTK7/PCDHB9/PCDHB6/PCDHB11/PCDHB2/PCDHB16",13
"GO:0006457","protein folding","15/309","227/18805",0.066079295154185,4.02142765493349,5.91958283088494,5.59967031811205e-06,0.00264684879111197,0.00240713077004407,"PDIA4/NUDC/ANP32E/PPIL2/TBCE/TTC4/DNAJC18/PPIL3/DNAJA3/CLU/SIL1/CANX/PDCD5/CCT6A/CCT3",15
"GO:0022618","protein-RNA complex assembly","15/309","228/18805",0.0657894736842105,4.00378981434168,5.89813387451555,5.90648120208513e-06,0.00264684879111197,0.00240713077004407,"SMN1/SMN2/LUC7L2/EIF2S3/EIF3D/PRPF6/EIF3I/SNRPG/RPS5/PRPF8/PRKDC/LSM2/EIF3CL/SETX/XRCC5",15
"GO:0006413","translational initiation","11/309","124/18805",0.0887096774193548,5.39865852385427,6.35179514729264,6.42396771782489e-06,0.00264684879111197,0.00240713077004407,"NPM1/MTOR/EIF2S3/EIF3D/EIF3I/LARP1/RPS5/ABCF1/EIF4G2/EIF3CL/EIF2AK4",11
"GO:0043039","tRNA aminoacylation","7/309","44/18805",0.159090909090909,9.68189173286261,7.4520912613523,6.87493192496615e-06,0.00264684879111197,0.00240713077004407,"AARS1/LARS2/LRRC47/EPRS1/LARS1/YARS1/MARS1",7
"GO:0043038","amino acid activation","7/309","45/18805",0.155555555555556,9.46673858324344,7.34973098440768,8.02772691179131e-06,0.00273442692471971,0.00248677718615145,"AARS1/LARS2/LRRC47/EPRS1/LARS1/YARS1/MARS1",7
"GO:0071826","protein-RNA complex organization","15/309","237/18805",0.0632911392405063,3.85174716316415,5.71042037346841,9.41821527001878e-06,0.00273442692471971,0.00248677718615145,"SMN1/SMN2/LUC7L2/EIF2S3/EIF3D/PRPF6/EIF3I/SNRPG/RPS5/PRPF8/PRKDC/LSM2/EIF3CL/SETX/XRCC5",15
"GO:0045048","protein insertion into ER membrane","6/309","31/18805",0.193548387096774,11.7788913247729,7.76322165062387,9.76581044542753e-06,0.00273442692471971,0.00248677718615145,"RAB5IF/TRAM1/NOMO1/BAG6/EMC1/NOMO3",6
"GO:0016236","macroautophagy","19/309","374/18805",0.0508021390374332,3.09169651973764,5.28111321594592,1.49340026528368e-05,0.00383306068089479,0.00348591061922797,"WDR45B/TIGAR/ATG13/UFC1/MFN2/MTOR/RAB5A/ATP6V1A/LARP1/VPS26A/SCFD1/NIPSNAP3A/RAB1B/MTMR3/GSK3A/SMURF1/RETREG3/ATP6V0A1/SNX4",19
"GO:0000045","autophagosome assembly","10/309","119/18805",0.0840336134453782,5.11408446873895,5.81907514141665,2.71927749610645e-05,0.00644259591385222,0.00585910722035569,"WDR45B/ATG13/MFN2/MTOR/RAB5A/SCFD1/RAB1B/MTMR3/SMURF1/SNX4",10
"GO:0007033","vacuole organization","14/309","238/18805",0.0588235294117647,3.57985912811727,5.17701060475856,4.19417401018539e-05,0.00913985289326217,0.00831208084380405,"WDR45B/MBTPS1/ATG13/MFN2/MTOR/RAB5A/ATP6V1A/SCFD1/PI4KB/RAB1B/MTMR3/SMURF1/ATP6V0A1/SNX4",14
"GO:1905037","autophagosome organization","10/309","126/18805",0.0793650793650794,4.82996866492012,5.57531147286095,4.4512270584069e-05,0.00913985289326217,0.00831208084380405,"WDR45B/ATG13/MFN2/MTOR/RAB5A/SCFD1/RAB1B/MTMR3/SMURF1/SNX4",10
