"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022626","cytosolic ribosome","40/844","118/19880",0.338983050847458,7.98457707446381,16.0230914879291,1.15773045542631e-25,7.31685647829427e-23,5.53273291330046e-23,"RACK1/NEMF/RPL23/RPS24/RPL7A/RPL7L1/RPS3A/RPSA/RPS9/RPL39/RPS28/RPL9/RPS12/RPL37/RPS17/RPS11/RPL18/RPL28/RPL3/RPS5/ASCC2/RPL38/RPS21/RPL13A/RPLP0/RPS3/RPS26/RPLP1/RPS18/RPS10/RPS27A/GCN1/RPL14/RPS13/RPL4/RPL5/EEF1A1/DDX3X/RPL41/RPL10A",40
"GO:0005925","focal adhesion","64/844","424/19880",0.150943396226415,3.55539658410087,11.1994089032682,6.52629476278889e-19,2.06230914504129e-16,1.5594409591085e-16,"FLNC/PDCD6IP/FLOT1/FLNA/RDX/CYFIP1/SRP68/ANXA5/RPL23/PABPC1/CBL/NPM1/RPL7A/RPS3A/RPS9/VASP/ACTN4/RPL9/G3BP1/YWHAQ/HSPA9/ITGA5/RPS17/CPNE3/B2M/RPS11/ARHGEF2/RPL18/RPL3/CTNNA1/CAPN2/RPS5/RPL38/CORO1C/RPL13A/SHC1/RPLP0/CTNNB1/RPS3/IRF2/BSG/RPLP1/PVR/PPFIBP1/RPS18/PCBP2/PIP5K1A/RPS10/LAMTOR3/TPM4/ARPC3/RPS13/RPL4/PPIA/RPL5/YWHAE/AIF1L/HNRNPK/TSPAN9/VIM/MAPRE1/ITGAV/CDC42/RPL10A",64
"GO:0044391","ribosomal subunit","41/844","186/19880",0.220430107526882,5.19212149008816,12.0949480599292,1.76011844424537e-18,3.46773196702366e-16,2.62216907566413e-16,"RACK1/RPL23/RPS24/RPL7A/RPL7L1/RPS3A/RPSA/RPS9/RPL39/RPS28/MRPS11/RPL9/RPS12/RPL37/RPS17/RPS11/RPL18/RPL28/RPL3/RPS5/MRPS18B/RPL38/RPS21/RPL13A/RPLP0/MRPS35/RPS3/MRPS33/RPS26/RPLP1/RPS18/RPS10/RPS27A/RPL14/RPS13/RPL4/RPL5/MRPL2/DDX3X/RPL41/RPL10A",41
"GO:0030055","cell-substrate junction","64/844","434/19880",0.147465437788018,3.47347500382205,10.9702845366074,2.1947670677365e-18,3.46773196702366e-16,2.62216907566413e-16,"FLNC/PDCD6IP/FLOT1/FLNA/RDX/CYFIP1/SRP68/ANXA5/RPL23/PABPC1/CBL/NPM1/RPL7A/RPS3A/RPS9/VASP/ACTN4/RPL9/G3BP1/YWHAQ/HSPA9/ITGA5/RPS17/CPNE3/B2M/RPS11/ARHGEF2/RPL18/RPL3/CTNNA1/CAPN2/RPS5/RPL38/CORO1C/RPL13A/SHC1/RPLP0/CTNNB1/RPS3/IRF2/BSG/RPLP1/PVR/PPFIBP1/RPS18/PCBP2/PIP5K1A/RPS10/LAMTOR3/TPM4/ARPC3/RPS13/RPL4/PPIA/RPL5/YWHAE/AIF1L/HNRNPK/TSPAN9/VIM/MAPRE1/ITGAV/CDC42/RPL10A",64
"GO:0005840","ribosome","46/844","244/19880",0.188524590163934,4.44060290575713,11.3863255144919,1.02560634663372e-17,1.29636642214503e-15,9.80263750256233e-16,"RACK1/SRP68/NEMF/RPL23/RPS24/RPL7A/RPL7L1/RPS3A/RPSA/RPS9/RPL39/RPS28/MRPS11/RPL9/RPS12/RPL37/RPS17/RPS11/RPL18/RPL28/RPL3/RPS5/ASCC2/MRPS18B/RPL38/RPS21/RPL13A/RPLP0/MRPS35/RPS3/MRPS33/RPS26/RPLP1/RPS18/RPS10/RPS27A/GCN1/RPL14/RPS13/RPL4/RPL5/MRPL2/EEF1A1/DDX3X/RPL41/RPL10A",46
"GO:0022627","cytosolic small ribosomal subunit","18/844","42/19880",0.428571428571429,10.0947867298578,12.4236401554652,2.27378524826423e-14,2.39505379483833e-12,1.81105000475783e-12,"RACK1/RPS24/RPS3A/RPSA/RPS9/RPS28/RPS12/RPS17/RPS11/RPS5/RPS21/RPS3/RPS26/RPS18/RPS10/RPS27A/RPS13/DDX3X",18
"GO:0015935","small ribosomal subunit","22/844","74/19880",0.297297297297297,7.00268989368516,10.8929126829848,2.23943858635372e-13,2.02189312367936e-11,1.52887987699938e-11,"RACK1/RPS24/RPS3A/RPSA/RPS9/RPS28/MRPS11/RPS12/RPS17/RPS11/RPS5/MRPS18B/RPS21/MRPS35/RPS3/MRPS33/RPS26/RPS18/RPS10/RPS27A/RPS13/DDX3X",22
"GO:0071013","catalytic step 2 spliceosome","24/844","90/19880",0.266666666666667,6.28120063191153,10.573327061117,2.61582966488688e-13,2.06650543526063e-11,1.56261403665611e-11,"AQR/CWC22/PPIL2/U2AF1/HNRNPU/PABPC1/EFTUD2/HNRNPA1/PPIL3/HNRNPC/SF3B2/PRPF8/DDX5/HNRNPH1/PRPF19/ESS2/RALY/SNRNP40/HNRNPA2B1/SRRM2/SNRNP200/HNRNPM/HNRNPK/SF3A1",24
"GO:0005681","spliceosomal complex","36/844","208/19880",0.173076923076923,4.07674079475027,9.39245151014896,5.61406767589423e-13,3.9423230790724e-11,2.98103710509472e-11,"U2AF2/AQR/CWC22/PPIL2/U2AF1/HNRNPU/PABPC1/RHEB/YBX1/SNRNP70/EFTUD2/DDX39B/HNRNPA1/LUC7L3/IK/TRA2B/PPIL3/HNRNPH3/HNRNPC/SUGP1/SF3B2/PRPF8/DDX5/HNRNPH1/PRPF19/ESS2/RALY/SNRNP40/HNRNPA2B1/NCL/SRRM2/SNRNP200/HNRNPM/HNRNPK/SF3A1/PRPF40A",36
"GO:0022625","cytosolic large ribosomal subunit","18/844","57/19880",0.315789473684211,7.43826390621102,10.2494875919865,1.09318731923911e-11,6.90894385759116e-10,5.224284662469e-10,"RPL23/RPL7A/RPL7L1/RPL39/RPL9/RPL37/RPL18/RPL28/RPL3/RPL38/RPL13A/RPLP0/RPLP1/RPL14/RPL4/RPL5/RPL41/RPL10A",18
